id;name;lon;lat;kwds
N3987874410;Degnerstraße;13.4947677;52.5460456;transport,tramstop
N3988411811;Alt-Gatow;13.1825151;52.4829445;transport,busstop
N3988411812;Alt-Gatow;13.1829626;52.4835081;transport,busstop
N3988411813;Alt-Gatow;13.1835339;52.4835273;transport,busstop
N3988411814;Alt-Kladow;13.1439153;52.4536487;transport,busstop
N3988411815;Alt-Pichelsdorf;13.1962880;52.5131137;transport,busstop
N3988411816;Alt-Pichelsdorf;13.1958697;52.5133127;transport,busstop
N3988411817;Am Graben;13.1792241;52.4789385;transport,busstop
N3988411818;Am Graben;13.1793652;52.4791104;transport,busstop
N3988411819;Annenweg;13.1736910;52.4814331;transport,busstop
N3988411820;Annenweg;13.1737358;52.4814405;transport,busstop
N3988411821;Biberburg;13.1800779;52.4977306;transport,busstop
N3988411822;Biberburg;13.1800385;52.4981307;transport,busstop
N3988411823;Breitehornweg;13.1692064;52.4702732;transport,busstop
N3988411824;Breitehornweg;13.1695981;52.4706118;transport,busstop
N3988411825;Christoph-Kolumbus-Straße;13.1653004;52.4671241;transport,busstop
N3988411826;Christoph-Kolumbus-Straße;13.1657880;52.4675064;transport,busstop
N3988411827;Emil-Basdeck-Straße;13.1803229;52.4932643;transport,busstop
N3988411828;Emil-Basdeck-Straße;13.1803159;52.4935232;transport,busstop
N3988411829;Freybrücke;13.2007866;52.5122517;transport,busstop
N3988411830;Freybrücke;13.2007579;52.5122573;transport,busstop
N3988411831;Gatow Kirche;13.1825057;52.4863384;transport,busstop
N3988411832;Gatow Kirche;13.1821794;52.4868210;transport,busstop
N3988411833;Gatower Heide;13.1519453;52.4822630;transport,busstop
N3988411834;Gatower Heide;13.1521333;52.4822785;transport,busstop
N3988411835;Gatower Straße/Heerstraße;13.1843498;52.5150856;transport,busstop
N3988411836;Gatower Straße/Heerstraße;13.1861493;52.5152017;transport,busstop
N3988411837;Gatower Straße/Heerstraße;13.1841648;52.5156589;transport,busstop
N3988411838;Gatower Straße/Heerstraße;13.1851283;52.5158495;transport,busstop
N3988411839;Gatower Straße/Weinmeisterhornweg;13.1800026;52.5087870;transport,busstop
N3988411840;Gatower Straße/Weinmeisterhornweg;13.1804571;52.5094654;transport,busstop
N3988411841;General-Steinhoff-Kaserne;13.1617900;52.4644990;transport,busstop
N3988411842;General-Steinhoff-Kaserne;13.1631555;52.4654446;transport,busstop
N3988411843;Habichtswald;13.1422533;52.4795257;transport,busstop
N3988411844;Helleberge;13.1736562;52.4736604;transport,busstop
N3988411845;Helleberge;13.1743475;52.4742370;transport,busstop
N3988411846;Hottengrund;13.1258359;52.4453733;transport,busstop
N3988411847;Jaczostraße;13.1913182;52.5141777;transport,busstop
N3988411848;Jaczostraße, 136, 236;13.1907936;52.5142836;transport,busstop
N3988411849;Kaserne Hottengrund;13.1274554;52.4472962;transport,busstop
N3988411850;Krankenhaus Havelhöhe;13.1582349;52.4624399;transport,busstop
N3988411851;Krankenhaus Havelhöhe;13.1590157;52.4628850;transport,busstop
N3988411852;Pfirsichweg;13.1803089;52.4905664;transport,busstop
N3988411853;Pfirsichweg;13.1803097;52.4906351;transport,busstop
N3988411854;Pichelswerder;13.2090548;52.5105949;transport,busstop
N3988411855;Pichelswerder;13.2084802;52.5107123;transport,busstop
N3988411856;Sandheideweg;13.1823373;52.5121448;transport,busstop
N3988412257;Sandheideweg;13.1825752;52.5124802;transport,busstop
N3988412258;Zur Haveldüne;13.1800199;52.5043882;transport,busstop
N3988412336;Emil-Basdeck-Straße;13.1802111;52.4934659;transport,busstop
N3988412350;Sandheideweg;13.1822518;52.5121236;transport,busstop
N3988490657;Am Zeppelinpark;13.1273738;52.5288051;transport,busstop
N3988490658;Am Zeppelinpark;13.1268801;52.5288159;transport,busstop
N3988490659;Am alten Gaswerk;13.1299900;52.5362093;transport,busstop
N3988490660;Am alten Gaswerk;13.1310650;52.5363734;transport,busstop
N3988490662;Brunsbütteler Damm/Nennhauser Damm;13.1437612;52.5326125;transport,busstop
N3988490663;Brunsbütteler Damm/Stadtgrenze;13.1246210;52.5353605;transport,busstop
N3988490664;Buschower Weg;13.1328671;52.5264033;transport,busstop
N3988490665;Buschower Weg;13.1327437;52.5264297;transport,busstop
N3988490666;Döberitzer Weg;13.1339420;52.5286196;transport,busstop
N3988490667;Döberitzer Weg;13.1323305;52.5286644;transport,busstop
N3988490668;Hahneberg;13.1439077;52.5240652;transport,busstop
N3988490669;Hauptstraße;13.1405922;52.5305222;transport,busstop
N3988490670;Heerstraße 438–446;13.1594768;52.5207537;transport,busstop
N3988490671;Heerstraße 438–446;13.1592135;52.5208090;transport,busstop
N3988490672;Heerstraße/Magistratsweg;13.1634065;52.5199298;transport,busstop
N3988490673;Heerstraße/Magistratsweg;13.1619209;52.5202402;transport,busstop
N3988490674;Heerstraße/Magistratsweg;13.1629056;52.5210674;transport,busstop
N3988490675;Heerstraße/Nennhauser Damm;13.1232529;52.5289175;transport,busstop
N3988490676;Heerstraße/Nennhauser Damm;13.1230628;52.5289241;transport,busstop
N3988490677;Reimerweg;13.1560840;52.5214740;transport,busstop
N3988490678;Reimerweg;13.1552387;52.5216477;transport,busstop
N3988490679;Sandstraße;13.1694229;52.5186871;transport,busstop
N3988490680;Sandstraße;13.1690568;52.5187534;transport,busstop
N3988490681;Sandstraße;13.1702903;52.5188836;transport,busstop
N3988490682;Staakener Feldstraße;13.1373429;52.5352900;transport,busstop
N3988490684;Weidenweg;13.1382282;52.5252604;transport,busstop
N3988490685;Weidenweg;13.1374202;52.5254343;transport,busstop
N3988490686;Heerstraße/Wilhelmstraße;13.1784366;52.5162755;transport,busstop
N3988490687;Heerstraße/Wilhelmstraße;13.1785359;52.5167541;transport,busstop
N3988490688;Heerstraße/Wilhelmstraße;13.1795546;52.5168958;transport,busstop
N3988571457;Dipl.-Med. Stefan Raabe;13.4122153;52.5328643;health,doctors
N3989455231;Dämeritzstraße;13.7270277;52.4259437;transport,busstop
N3989455233;Fahlenbergstraße;13.7182184;52.4314584;transport,busstop
N3989455235;Hortwinkeler Weg;13.6938992;52.4411412;transport,busstop
N3989455236;Schönblicker Straße;13.7115120;52.4330187;transport,busstop
N3989455237;Lutherstraße;13.7307062;52.4288132;transport,busstop
N3989455238;Frankenbergstraße;13.7167377;52.4361664;transport,busstop
N3989455239;Hubertusstraße;13.7191939;52.4269859;transport,busstop
N3989455240;Lagunenweg;13.7150428;52.4317936;transport,busstop
N3989455241;Grünheider Weg;13.6975447;52.4365845;transport,busstop
N3989455242;Eichenstraße/Waldstraße;13.7216779;52.4252902;transport,busstop
N3989756041;Waldschützpfad;13.6906680;52.4411444;transport,busstop
N3989756043;Fahlenbergstraße;13.7187199;52.4311563;transport,busstop
N3989756044;Lagunenweg;13.7131391;52.4322706;transport,busstop
N3989756045;Lutherstraße;13.7304341;52.4277802;transport,busstop
N3989756046;Hortwinkeler Weg;13.6953078;52.4412611;transport,busstop
N3989756048;Hubertusstraße;13.7196477;52.4266161;transport,busstop
N3989756049;Dämeritzstraße;13.7248403;52.4251619;transport,busstop
N3989801753;Cliffhanger;13.2210670;52.5421112;sport,climbing
N3989808407;Only;13.3299100;52.5032483;shop,clothes
N3989816268;I♥Berlin;13.3296469;52.5031917;shop,gift
N3989846157;Rowdy Barber;13.4185269;52.5370701;shop,hairdresser
N3989990698;Am Omnibushof;13.1856885;52.5177600;transport,busstop
N3989990699;Am Kurzen Weg;13.1466687;52.5396114;transport,busstop
N3989990700;Am Kurzen Weg;13.1468098;52.5396221;transport,busstop
N3989990701;Außenweg;13.1354860;52.4852357;transport,busstop
N3989990702;Bahnhof Staaken;13.1421076;52.5369278;transport,busstop
N3989990703;Baluschekweg;13.1667395;52.5239928;transport,busstop
N3989990704;Blasewitzer Ring;13.1750812;52.5224886;transport,busstop
N3989990705;Blasewitzer Ring;13.1746442;52.5225860;transport,busstop
N3989990706;Egelpfuhlstraße;13.1699812;52.5334954;transport,busstop
N3989990707;Egelpfuhlstraße;13.1699375;52.5336222;transport,busstop
N3989990708;Elsflether Weg;13.1933818;52.5338534;transport,busstop
N3989990709;Elsflether Weg;13.1938936;52.5338744;transport,busstop
N3989990710;Finkenkruger Weg;13.1432746;52.5396002;transport,busstop
N3989990711;Finkenkruger Weg;13.1430784;52.5396121;transport,busstop
N3989990712;Gredinger Straße;13.1339692;52.4614837;transport,busstop
N3989990713;Gredinger Straße;13.1334362;52.4618375;transport,busstop
N3989990714;Grünhofer Weg;13.1874428;52.5342761;transport,busstop
N3989990715;Grünhofer Weg;13.1879897;52.5342990;transport,busstop
N3989990716;Gutsstraße;13.1207779;52.4749934;transport,busstop
N3989990717;Gutsstraße;13.1207196;52.4751143;transport,busstop
N3989990718;Harburger Weg;13.1632866;52.5332278;transport,busstop
N3989990719;Harburger Weg;13.1630034;52.5333518;transport,busstop
N3989990720;Karolinenhöhe;13.1674587;52.5083404;transport,busstop
N3989990721;Kolonie Hasenheide;13.1846211;52.5233959;transport,busstop
N3989990722;Kolonie Hasenheide;13.1843711;52.5234625;transport,busstop
N3989990723;Krumme Gärten;13.1919776;52.5285295;transport,busstop
N3989990724;Krumme Gärten;13.1920339;52.5285394;transport,busstop
N3989990725;Kurpromenade;13.1238282;52.4705536;transport,busstop
N3989990726;Kurpromenade;13.1235096;52.4710212;transport,busstop
N3989990727;Landschaftsfriedhof Gatow;13.1528363;52.4983231;transport,busstop
N3989990728;Leubnitzer Weg;13.1730501;52.5228944;transport,busstop
N3989990729;Leubnitzer Weg;13.1728418;52.5229374;transport,busstop
N3989990730;Louise-Schroeder-Siedlung;13.1522869;52.5328294;transport,busstop
N3989990731;Louise-Schroeder-Siedlung;13.1523927;52.5329558;transport,busstop
N3989990732;Lutoner Straße;13.1767516;52.5249566;transport,busstop
N3989990733;Lutoner Straße;13.1780915;52.5251594;transport,busstop
N3989990734;Lutoner Straße;13.1784840;52.5255361;transport,busstop
N3989990735;Magistratsweg/Brunsbütteler Damm;13.1581112;52.5326334;transport,busstop
N3989990736;Magistratsweg/Brunsbütteler Damm;13.1574317;52.5330292;transport,busstop
N3989990737;Magistratsweg/Brunsbütteler Damm;13.1575191;52.5331497;transport,busstop
N3989990738;Nauener Straße;13.1819511;52.5340730;transport,busstop
N3989990739;Nauener Straße;13.1825353;52.5340987;transport,busstop
N3989990740;Obstallee;13.1732695;52.5197669;transport,busstop
N3989990741;Obstallee;13.1728521;52.5198501;transport,busstop
N3989990742;Päwesiner Weg;13.1771854;52.5337804;transport,busstop
N3989990743;Päwesiner Weg;13.1770576;52.5338923;transport,busstop
N3989990744;Ritterfelddamm/Potsdamer Chaussee;13.1198568;52.4775198;transport,busstop
N3989990745;Rodensteinstraße;13.1747203;52.5136488;transport,busstop
N3989990746;Rodensteinstraße;13.1755603;52.5142902;transport,busstop
N3989990747;Rudolf-Wissell-Siedlung;13.1624115;52.5219209;transport,busstop
N3989990749;Rudolf-Wissell-Siedlung;13.1614911;52.5242964;transport,busstop
N3989990750;Schallweg;13.1407786;52.4560437;transport,busstop
N3989990751;Schallweg;13.1402759;52.4564676;transport,busstop
N3989990752;Schwabinger Weg;13.1383360;52.4580692;transport,busstop
N3989990753;Schwabinger Weg;13.1378197;52.4585163;transport,busstop
N3989990754;Seeburger Straße/Päwesiner Weg;13.1814693;52.5262312;transport,busstop
N3989990755;Seeburger Straße/Päwesiner Weg;13.1822984;52.5264230;transport,busstop
N3989990756;Seecktstraße;13.1878802;52.5276816;transport,busstop
N3990000657;Seekorso;13.1267604;52.4676226;transport,busstop
N3990000658;Seekorso;13.1259667;52.4682646;transport,busstop
N3990000659;Springerzeile;13.1603645;52.5270491;transport,busstop
N3990000660;Springerzeile;13.1601019;52.5277368;transport,busstop
N3990000661;Waldallee;13.1291879;52.4653410;transport,busstop
N3990000662;Weinmeisterhornweg;13.1713259;52.5107701;transport,busstop
N3990000663;Weinmeisterhornweg;13.1719283;52.5113377;transport,busstop
N3990000664;Ziegelhof;13.1946101;52.5290208;transport,busstop
N3990000665;Ziegelhof;13.1948508;52.5290698;transport,busstop
N3990000666;Zweiwinkelweg;13.1485057;52.5327125;transport,busstop
N3990000667;Zweiwinkelweg;13.1482441;52.5328081;transport,busstop
N3990000678;Waldallee;13.1291235;52.4653190;transport,busstop
N3990000681;Waldallee;13.1290960;52.4655320;transport,busstop
N3990015321;S Wannsee;13.1784382;52.4216240;transport,busstop
N3990015322;S Wannsee;13.1784155;52.4216739;transport,busstop
N3990691881;Aalemannufer;13.2127349;52.5728598;transport,busstop
N3990691882;Aalemannufer;13.2128898;52.5731779;transport,busstop
N3990691883;Aalemannufer;13.2125070;52.5734098;transport,busstop
N3990691884;Aalemannufer;13.2124366;52.5735725;transport,busstop
N3990691886;Am Bogen;13.1598845;52.5521782;transport,busstop
N3990691887;Am Kiesteich;13.1651903;52.5508259;transport,busstop
N3990691888;Am Kiesteich;13.1660520;52.5509656;transport,busstop
N3990691889;Am Kiesteich;13.1645758;52.5513729;transport,busstop
N3990691890;Amorbacher Weg;13.2076154;52.5569152;transport,busstop
N3990691891;Amorbacher Weg;13.2079273;52.5574881;transport,busstop
N3990691892;Beerwinkel;13.1625060;52.5516271;transport,busstop
N3990691893;Beerwinkel;13.1617498;52.5519047;transport,busstop
N3990691894;Borkzeile;13.1919575;52.5361810;transport,busstop
N3990691895;Borkzeile;13.1905909;52.5365671;transport,busstop
N3990691896;Bürgerablage;13.2070582;52.5844580;transport,busstop
N3990691897;Calvinstraße;13.1436735;52.5563040;transport,busstop
N3990691898;Calvinstraße;13.1436868;52.5563306;transport,busstop
N3990691899;Dallgower Straße;13.1870276;52.5376330;transport,busstop
N3990691900;Dyrotzer Straße;13.1693541;52.5413842;transport,busstop
N3990691901;Dyrotzer Straße;13.1676388;52.5417421;transport,busstop
N3990691902;Eiswerderstraße;13.2099058;52.5480976;transport,busstop
N3990691903;Eiswerderstraße;13.2099564;52.5481913;transport,busstop
N3990691904;Eschenweg;13.2101337;52.5675048;transport,busstop
N3990691905;Falkenseer Chaussee/Stadtrandstraße;13.1540602;52.5532657;transport,busstop
N3990691906;Falkenseer Chaussee/Stadtrandstraße;13.1541500;52.5533570;transport,busstop
N3990691907;Freudstraße;13.1500705;52.5540146;transport,busstop
N3990691908;Galenstraße;13.1946848;52.5356002;transport,busstop
N3990691909;Galenstraße;13.1943343;52.5356659;transport,busstop
N3990691910;Gartenstadt Staaken;13.1496960;52.5396305;transport,busstop
N3990691911;Gartenstadt Staaken;13.1495635;52.5396384;transport,busstop
N3990691912;Hamburger Straße;13.1349067;52.5581955;transport,busstop
N3990691913;Hamburger Straße;13.1348825;52.5582024;transport,busstop
N3990691914;Havelschanze;13.2079087;52.5535514;transport,busstop
N3990691915;Havelschanze;13.2078051;52.5544351;transport,busstop
N3990691918;Kirchhofstraße;13.2077400;52.5449941;transport,busstop
N3990691919;Kirchhofstraße;13.2084217;52.5455918;transport,busstop
N3990691920;Leuthingerweg;13.1641947;52.5418163;transport,busstop
N3990691921;Leuthingerweg;13.1643753;52.5418251;transport,busstop
N3990691922;Mertensstraße;13.2090928;52.5649980;transport,busstop
N3990691923;Mertensstraße;13.2093265;52.5651060;transport,busstop
N3990691924;Mertensstraße/Goltzstraße;13.2153063;52.5646672;transport,busstop
N3990691925;Mertensstraße/Goltzstraße;13.2150042;52.5647004;transport,busstop
N3990691926;Neue Bergstraße;13.2099283;52.5502296;transport,busstop
N3990691927;Neue Bergstraße;13.2099694;52.5504753;transport,busstop
